url,scan_status,finding_id,finding_title,finding_description,finding_score,tags,item_selector,item_snippet,item_node_label,item_explanation
https://example.gov/a,success,,,,,,,,,
https://example.gov/b,success,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,Low-contrast text is difficult or impossible for many users to read. [Learn how to provide sufficient color contrast](https://dequeuniversity.com/rules/axe/4.9/color-contrast).,0,,#example.gov-b-header,"<h1 class=""header"">Page Title</h1>",Page Title,"Fix any of the following:
  Element has insufficient color contrast of 2.73 (foreground color: #767676, background color: #ffffff, font size: 16px, font weight: normal)."
https://example.gov/c,success,aria-label,ARIA input fields do not have accessible names.,"By default, only the visible label text for form fields is accessible. When using an ARIA role that designates form input, provide an accessible name. [Learn more about ARIA input field labels](https://dequeuniversity.com/rules/axe/4.9/aria-label).",0,,#example.gov-c-search,"<input type=""search"" role=""searchbox"" />",,"Fix any of the following:
  aria-label attribute does not exist or is empty."
