date,performance,accessibility,best_practices,seo
2026-05-30,52.92,92.09,83.54,89.16
2026-05-31,55.27,91.74,83.52,90.35
2026-06-01,57.35,92.16,84.71,90.1
2026-06-02,52.78,91.98,84.2,89.4
2026-06-03,53.99,92.03,83.36,89.48
2026-06-04,52.36,92.05,83.07,89.41
2026-06-05,55.42,92.18,83.41,90.45
2026-06-06,53.32,91.56,83.39,88.79
2026-06-07,53.23,91.03,83.71,89.33
2026-06-08,51.77,91.57,82.73,89.18
2026-06-09,54.38,91.07,85.17,89.22
2026-06-10,55,92.05,84.53,88.89
2026-06-11,51.8,91.23,84.29,88.38
2026-06-12,51.82,91.43,84,89.94
2026-06-13,52.02,92.27,84.43,89.7
2026-06-14,52.31,91.88,83.26,89.34
2026-06-15,53.06,91.26,84.65,89.37
2026-06-16,52.54,91.88,84.71,89.46
2026-06-17,51.68,90.82,84.12,89.91
2026-06-18,52.91,90.98,83.96,88.6
2026-06-19,52.76,91.18,84.03,89.26
2026-06-20,53.23,91.15,84.49,89.13
2026-06-21,55.9,91.1,85.37,88.96
2026-06-22,52.92,91.17,85.11,89.04
2026-06-23,53.6,90.68,85.77,89.17
2026-06-24,53.34,91.13,84.75,89.22
2026-06-25,53.43,91.13,84.24,88.74
2026-06-26,54.02,91.3,84.62,88.85
2026-06-27,52.3,90.99,84.87,89.06
2026-06-28,54.71,90.33,83.61,88.56
2026-06-29,0,0,0,0
