date,performance,accessibility,best_practices,seo
2026-04-04,52.91,92.26,84.58,90.19
2026-04-05,53.38,92.15,84.2,89.39
2026-04-06,52.46,91.31,84.58,89.51
2026-04-07,54.16,91.52,84.14,88.99
2026-04-08,51.36,91.68,83.34,90
2026-04-09,52.26,92.24,84.46,88.74
2026-04-10,53.28,92.22,84.88,89.23
2026-04-11,53.23,92.19,84.91,89.56
2026-04-12,52.87,92.44,85.16,89.46
2026-04-13,51.67,90.98,84.64,89.28
2026-04-14,53.58,91.93,85.4,89.09
2026-04-15,51.8,92.27,84.22,89.66
2026-04-16,52.31,92.49,84.51,88.77
2026-04-17,55.33,92.36,85.05,88.27
2026-04-18,54.03,93.54,85.51,90.93
2026-04-19,52.56,91.91,83.77,89.17
2026-04-20,50.81,92.27,84.19,88.16
2026-04-21,54.02,91.52,83.96,88.24
2026-04-22,50.93,92.52,85.27,88.7
2026-04-23,51.53,92.85,84.54,89.42
2026-04-24,54.25,91.85,85.05,89.55
2026-04-25,50.63,92.53,85.34,89.56
2026-04-26,52.4,92.58,85.22,89.09
2026-04-27,51.9,92.37,85.2,90.24
2026-04-28,54.31,92.14,86.12,89.33
2026-04-29,52.76,92.34,85.87,90.06
2026-04-30,53.4,92.28,86.43,89.16
2026-05-01,54.59,92.43,86.56,89.45
2026-05-02,50.3,91.9,86.38,89.77
2026-05-03,55.72,91.88,85.89,89.85
2026-05-04,0,0,0,0
