date,performance,accessibility,best_practices,seo
2026-04-19,52.56,91.91,83.77,89.17
2026-04-20,50.81,92.27,84.19,88.16
2026-04-21,54.02,91.52,83.96,88.24
2026-04-22,50.93,92.52,85.27,88.7
2026-04-23,51.53,92.85,84.54,89.42
2026-04-24,54.25,91.85,85.05,89.55
2026-04-25,50.63,92.53,85.34,89.56
2026-04-26,52.4,92.58,85.22,89.09
2026-04-27,51.9,92.37,85.2,90.24
2026-04-28,54.31,92.14,86.12,89.33
2026-04-29,52.76,92.34,85.87,90.06
2026-04-30,53.4,92.28,86.43,89.16
2026-05-01,54.59,92.43,86.56,89.45
2026-05-02,50.3,91.9,86.38,89.77
2026-05-03,55.72,91.88,85.89,89.85
2026-05-04,52.65,91.51,85.54,89.31
2026-05-05,55.47,92.14,86.59,89.85
2026-05-06,52.61,91.44,86.3,89.17
2026-05-07,52.82,91.64,86.17,88.96
2026-05-08,53.47,91.97,85.78,89.1
2026-05-09,53.51,92.32,85.78,88.06
2026-05-10,54.13,92.8,85.7,88.87
2026-05-11,51.74,91.92,85.28,88.92
2026-05-12,53.95,91.8,84.15,89.69
2026-05-13,52.41,91.99,84.21,89.43
2026-05-14,53.29,91.57,84.23,89.01
2026-05-15,53.5,91.5,84.43,88.92
2026-05-16,54.77,91.93,85.13,89.82
2026-05-17,53.46,91.03,84.36,89.07
2026-05-18,53.49,91.06,84.72,88.97
2026-05-19,0,0,0,0
